"term","Estimate","Std. Error","t value","model","metric","component"
"UI2Secondary vegetation",-0.517859291555924,0.155374914721509,-3.33296589403846,"Bray-Curtis | Total","Bray-Curtis","Total"
"UI2Agriculture_Low",-0.82512782700172,0.158069831211098,-5.22002092796432,"Bray-Curtis | Total","Bray-Curtis","Total"
"UI2Agriculture_High",-0.225256727481039,0.164090101073077,-1.37276243970818,"Bray-Curtis | Total","Bray-Curtis","Total"
"UI2Urban",-0.788083801675654,0.385029266759029,-2.04681531954525,"Bray-Curtis | Total","Bray-Curtis","Total"
"pair_clim_mean",0.522581586722681,0.163964488584012,3.18716321586256,"Bray-Curtis | Total","Bray-Curtis","Total"
"UI2Secondary vegetation:pair_clim_mean",-0.00139609447508543,0.21282813493216,-0.0065597270564366,"Bray-Curtis | Total","Bray-Curtis","Total"
"UI2Agriculture_Low:pair_clim_mean",-0.971149023015577,0.142118584549578,-6.833371061874,"Bray-Curtis | Total","Bray-Curtis","Total"
"UI2Agriculture_High:pair_clim_mean",-0.689006562416147,0.138588412805705,-4.97160295343094,"Bray-Curtis | Total","Bray-Curtis","Total"
"UI2Urban:pair_clim_mean",-0.586336888813293,0.493849714448492,-1.18727797477434,"Bray-Curtis | Total","Bray-Curtis","Total"
"UI2Secondary vegetation",-0.93703011891752,0.236944303562958,-3.95464294700187,"Jaccard | Total","Jaccard","Total"
"UI2Agriculture_Low",-1.34804230536463,0.241201673240829,-5.5888596760217,"Jaccard | Total","Jaccard","Total"
"UI2Agriculture_High",-0.120151434579709,0.250410311468378,-0.479818238614673,"Jaccard | Total","Jaccard","Total"
"UI2Urban",-0.739670108371398,0.585352757757186,-1.26363137197045,"Jaccard | Total","Jaccard","Total"
"pair_clim_mean",0.839204504075989,0.243718580380857,3.44333412234952,"Jaccard | Total","Jaccard","Total"
"UI2Secondary vegetation:pair_clim_mean",-0.24860416126008,0.322439339222724,-0.771010639890803,"Jaccard | Total","Jaccard","Total"
"UI2Agriculture_Low:pair_clim_mean",-1.55357989172248,0.216610168248969,-7.17223897788957,"Jaccard | Total","Jaccard","Total"
"UI2Agriculture_High:pair_clim_mean",-1.11866693976542,0.210728915965946,-5.30855926742487,"Jaccard | Total","Jaccard","Total"
"UI2Urban:pair_clim_mean",-0.839941501480459,0.751589731476128,-1.11755318933217,"Jaccard | Total","Jaccard","Total"
"UI2Secondary vegetation",-0.937132667049799,0.236829497578618,-3.95699301240424,"Sorensen | Total","Sorensen","Total"
"UI2Agriculture_Low",-1.34682683374855,0.241083817066563,-5.58655014731534,"Sorensen | Total","Sorensen","Total"
"UI2Agriculture_High",-0.123909348320659,0.250288470895413,-0.495066144586566,"Sorensen | Total","Sorensen","Total"
"UI2Urban",-0.739485156587786,0.58506457580992,-1.26393766972491,"Sorensen | Total","Sorensen","Total"
"pair_clim_mean",0.839286414536866,0.243623022573006,3.44502094125919,"Sorensen | Total","Sorensen","Total"
"UI2Secondary vegetation:pair_clim_mean",-0.24775979799489,0.322288731186585,-0.768751042218266,"Sorensen | Total","Sorensen","Total"
"UI2Agriculture_Low:pair_clim_mean",-1.55434950284687,0.216503689229893,-7.17932109321422,"Sorensen | Total","Sorensen","Total"
"UI2Agriculture_High:pair_clim_mean",-1.1174789969022,0.2106268443705,-5.30549180586172,"Sorensen | Total","Sorensen","Total"
"UI2Urban:pair_clim_mean",-0.839995733979375,0.751216654003043,-1.11818039376956,"Sorensen | Total","Sorensen","Total"
"UI2Secondary vegetation",0.233350675050612,0.098331453675744,2.37310307462864,"Bray-Curtis | Turnover","Bray-Curtis","Turnover"
"UI2Agriculture_Low",0.1111646423662,0.100443205276712,1.10674128787459,"Bray-Curtis | Turnover","Bray-Curtis","Turnover"
"UI2Agriculture_High",-0.230300805043033,0.103869193786067,-2.21721953014644,"Bray-Curtis | Turnover","Bray-Curtis","Turnover"
"UI2Urban",-0.181585531826166,0.25496537381276,-0.712196833282614,"Bray-Curtis | Turnover","Bray-Curtis","Turnover"
"pair_clim_mean",-0.0921607579388368,0.0968374580674292,-0.951705670285811,"Bray-Curtis | Turnover","Bray-Curtis","Turnover"
