"method","K","silhouette","min_n","min_prop","cluster_sizes","mean_cluster_jaccard","min_cluster_jaccard","eligible","near_best_sil","final_candidate"
"kmeans",3,0.245493764204692,588,0.206678383128295,"588,828,1429",0.60683186266709,0.603479712947992,TRUE,TRUE,TRUE
"kmeans",2,0.261107376338368,1120,0.393673110720562,"1120,1725",0.616660531457348,0.613196097715076,TRUE,TRUE,TRUE
"kmeans",5,0.202807497685613,210,0.0738137082601054,"210,479,564,608,984",0.581827275288701,0.563661396915312,FALSE,FALSE,FALSE
"pam",5,0.166978451626051,366,0.128646748681898,"366,401,562,684,832",0.410854936538143,0.327431478381132,FALSE,FALSE,FALSE
"ward",5,0.146777384799991,252,0.0885764499121265,"252,310,501,769,1013",0.304752150218026,0.264345922300292,FALSE,FALSE,FALSE
"kmeans",4,0.199418915884981,437,0.153602811950791,"437,536,777,1095",0.548571280350731,0.529088660100937,FALSE,FALSE,FALSE
"pam",4,0.175042443284772,529,0.185940246045694,"529,625,844,847",0.515339824773804,0.490898816353463,FALSE,FALSE,FALSE
"ward",4,0.152970630301643,310,0.10896309314587,"310,501,1013,1021",0.322010649631055,0.266145030512849,FALSE,FALSE,FALSE
"pam",3,0.206550801851772,710,0.249560632688928,"710,982,1153",0.527560623934318,0.499140982153805,FALSE,FALSE,FALSE
"ward",3,0.156463716555952,501,0.17609841827768,"501,1021,1323",0.364101417159077,0.309254654276308,FALSE,FALSE,FALSE
"pam",2,0.27019327619568,948,0.333216168717047,"948,1897",0.539361780573606,0.519686779256346,FALSE,TRUE,FALSE
"ward",2,0.165907912222025,1021,0.358875219683656,"1021,1824",0.417802290129748,0.406518402008021,FALSE,FALSE,FALSE
